Date :9/28/2016 10:33:55 PM , Message: Getsettings
Date :9/28/2016 10:33:55 PM , Message: App Configured
Date :9/28/2016 10:35:06 PM , Message: Getsettings
Date :9/28/2016 10:35:06 PM , Message: App Configured
Date :9/28/2016 10:38:15 PM , Message: Getsettings
Date :9/28/2016 10:38:15 PM , Message: App Configured
Date :9/28/2016 10:39:23 PM , Message: Getsettings
Date :9/28/2016 10:39:23 PM , Message: App Configured
Date :9/29/2016 5:41:43 AM , Message: Getsettings
Date :9/29/2016 5:41:43 AM , Message: App Configured
Date :9/29/2016 4:00:07 PM , Message: Getsettings
Date :9/29/2016 4:00:07 PM , Message: App Configured
Date :9/29/2016 4:12:39 PM , Message: Getsettings
Date :9/29/2016 4:12:39 PM , Message: App Configured
Date :9/29/2016 4:18:05 PM , Message: Getsettings
Date :9/29/2016 4:18:06 PM , Message: App Configured
Date :10/21/2016 3:09:26 PM , Message: Getsettings
Date :10/21/2016 3:09:26 PM , Message: App Configured
Date :2016-10-25 11:28:11 AM , Message: Getsettings
Date :2016-10-25 11:28:11 AM , Message: App Configured
Date :2016-10-25 11:32:06 AM , Message: Getsettings
Date :2016-10-25 11:32:06 AM , Message: App Configured
Date :2016-10-25 11:37:41 AM , Message: Getsettings
Date :2016-10-25 11:37:41 AM , Message: App Configured
Date :2016-10-25 11:40:20 AM , Message: Getsettings
Date :2016-10-25 11:40:20 AM , Message: App Configured
Date :2016-10-25 1:49:48 PM , Message: Getsettings
Date :2016-10-25 1:49:48 PM , Message: App Configured
Date :2016-10-25 1:50:46 PM , Message: Getsettings
Date :2016-10-25 1:50:46 PM , Message: App Configured
Date :2016-10-25 1:54:49 PM , Message: Getsettings
Date :2016-10-25 1:54:49 PM , Message: App Configured
Date :2016-10-25 2:02:36 PM , Message: Getsettings
Date :2016-10-25 2:02:36 PM , Message: App Configured
Date :2016-10-25 2:02:40 PM , Message: Getsettings
Date :2016-10-25 2:02:40 PM , Message: App Configured
Date :2016-10-25 2:12:21 PM , Message: Getsettings
Date :2016-10-25 2:12:21 PM , Message: App Configured
Date :2016-10-25 2:14:32 PM , Message: Getsettings
Date :2016-10-25 2:14:32 PM , Message: App Configured
